"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"11",0,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1,0,0,1,1,0.01,0.56,0,255,1,0,0.24,0.42,0,0,0,0.53,1,"negative"
"12",1,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2,0,0,1,1,0.02,0.56,0,255,2,0.01,0.26,0.46,0,0,0,0.53,1,"negative"
"13",1,2,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2,0,0,1,1,0.02,0.56,0,255,2,0.01,0.28,0.5,0,0,0,0.53,1,"negative"
"14",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,2,0.04,0.5,0.96,0.5,0.01,0.57,0,255,2,0.01,0.31,0.54,0,0.02,0.5,0.52,0.5,"negative"
"15",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,2,0.08,1,0.92,0,0.01,0.58,0,255,2,0.01,0.34,0.58,0,0.05,1,0.53,0,"negative"
"16",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,2,0.12,1,0.88,0,0.01,0.58,0,255,2,0.01,0.36,0.62,0,0.07,1,0.55,0,"negative"
"17",0,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1,0.12,0,0.88,1,0.01,0.58,0,255,1,0,0.38,0.66,0,0.08,0,0.58,1,"negative"
"18",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0.71,1,0.29,0,0.14,0.57,0,255,1,0,0.02,0.03,0,0.02,1,0.01,0,"negative"
"19",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0.76,1,0.24,0,0.06,0.47,0,255,1,0,0.04,0.07,0,0.05,1,0.02,0,"negative"
"20",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0.78,0.67,0.22,0.33,0.11,0.41,0,255,3,0.01,0.05,0.11,0,0.08,0.67,0.02,0.33,"negative"
"21",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0.81,1,0.19,0,0.05,0.41,0,255,2,0.01,0.06,0.15,0,0.12,1,0.03,0,"negative"
"22",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,0.81,1,0.19,0,0.04,0.4,0,255,2,0.01,0.08,0.18,0,0.15,1,0.04,0,"negative"
"23",2,2,7,3,693375640,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,57,3,0.79,0.67,0.21,0.33,0.05,0.39,0,255,3,0.01,0.09,0.22,0,0.18,0.67,0.05,0.33,"negative"
"24",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0.79,1,0.21,0,0.01,0.39,0,255,1,0,0.1,0.26,0,0.21,1,0.05,0,"negative"
"25",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0.79,1,0.21,0,0.03,0.38,0,255,2,0.01,0.11,0.3,0,0.24,1,0.06,0,"negative"
"26",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,3,0.77,0.67,0.23,0.33,0.03,0.37,0,255,3,0.01,0.13,0.34,0,0.26,0.67,0.08,0.33,"negative"
"27",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,2,0.75,0.5,0.25,0.5,0.02,0.37,0,255,2,0.01,0.14,0.38,0,0.29,0.5,0.09,0.5,"negative"
"28",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,0.75,1,0.25,0,0.01,0.37,0,255,1,0,0.16,0.42,0,0.31,1,0.11,0,"negative"
"29",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2,0.74,1,0.26,0,0.02,0.37,0,255,2,0.01,0.17,0.46,0,0.34,1,0.12,0,"negative"
"30",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,3,0.73,0.67,0.27,0.33,0.02,0.36,0,255,3,0.01,0.18,0.5,0,0.36,0.67,0.13,0.33,"negative"
"31",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,2,0.72,0.5,0.28,0.5,0.01,0.36,0,255,2,0.01,0.2,0.54,0,0.39,0.5,0.15,0.5,"negative"
"32",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2,0.71,0.5,0.29,0.5,0.01,0.37,0,255,2,0.01,0.22,0.58,0,0.41,0.5,0.17,0.5,"negative"
"33",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,2,0.69,0.5,0.31,0.5,0.01,0.38,0,255,2,0.01,0.24,0.62,0,0.43,0.5,0.19,0.5,"negative"
"34",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,2,0.68,0.5,0.32,0.5,0.01,0.39,0,255,2,0.01,0.25,0.65,0,0.45,0.5,0.21,0.5,"negative"
"35",1,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,2,0.67,0.5,0.33,0.5,0.01,0.4,0,255,2,0.01,0.27,0.69,0,0.47,0.5,0.23,0.5,"negative"
"36",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1,0.66,1,0.34,0,0.01,0.41,0,255,1,0,0.3,0.73,0,0.49,1,0.25,0,"negative"
"37",0,2,30,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,197,1,0.65,1,0.35,0,0.01,0.41,0,255,1,0,0.32,0.77,0,0.51,1,0.27,0,"negative"
"38",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,1,0.65,1,0.35,0,0,0.42,0,255,1,0,0.34,0.81,0,0.53,1,0.29,0,"negative"
"39",0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,1,0.64,1,0.36,0,0,0.42,0,255,1,0,0.36,0.85,0,0.55,1,0.31,0,"negative"
"40",0,2,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,1,0.63,1,0.37,0,0,0.42,0,255,1,0,0.38,0.89,0,0.56,1,0.33,0,"negative"
"41",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.02,0,0,0,0,0,1,"negative"
"42",0,2,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.06,0.04,0,0,0,0.04,1,"negative"
"43",0,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.1,0.08,0,0,0,0.08,1,"negative"
"44",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.13,0.12,0,0,0,0.12,1,"negative"
"45",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.17,0.16,0,0,0,0.16,1,"negative"
"46",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.21,0.2,0,0,0,0.2,1,"negative"
"47",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.25,0.24,0,0,0,0.24,1,"negative"
"48",0,2,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.29,0.28,0,0,0,0.28,1,"negative"
"49",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.32,0.32,0,0,0,0.32,1,"negative"
"50",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.36,0.36,0,0,0,0.36,1,"negative"
"51",0,2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.4,0.4,0,0,0,0.4,1,"negative"
"52",0,2,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.44,0.44,0,0,0,0.44,1,"negative"
"53",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.48,0.47,0,0,0,0.47,1,"negative"
"54",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.52,0.51,0,0,0,0.51,1,"negative"
"55",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.56,0.55,0,0,0,0.55,1,"negative"
"56",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.6,0.59,0,0,0,0.59,1,"negative"
"57",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.64,0.63,0,0,0,0.63,1,"negative"
"58",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.67,0.67,0,0,0,0.67,1,"negative"
"59",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.5,1,0.5,1,0,255,1,0,0.71,0.71,0,0,0,0.71,1,"negative"
"60",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.75,0.75,0,0,0,0.75,1,"negative"
"61",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.79,0.79,0,0,0,0.79,1,"negative"
"62",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.83,0.83,0,0,0,0.83,1,"negative"
"63",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.87,0.87,0,0,0,0.87,1,"negative"
"64",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.91,0.91,0,0,0,0.91,1,"negative"
"65",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.95,0.95,0,0,0,0.95,1,"negative"
"66",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,0.99,0.98,0,0,0,0.98,1,"negative"
"67",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"68",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"69",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"70",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"71",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"72",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"73",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"74",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"75",0,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,1,0,1,1,0,0,0,1,0,"negative"
"76",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"77",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"78",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"79",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"80",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"81",14,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"82",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"83",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"84",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"85",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"86",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"87",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"88",27,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"89",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"90",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"91",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"92",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"93",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"94",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"95",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"96",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"97",14,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"98",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"99",27,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"100",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"101",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"102",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"103",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"104",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"105",28,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"106",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"107",27,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"108",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"109",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"110",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"111",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"112",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"113",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"114",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"115",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"116",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"117",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"118",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"119",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"120",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"121",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"122",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"123",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"124",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"125",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"126",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"127",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"128",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"129",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"130",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,0.99,1,"negative"
"131",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,0.99,1,"negative"
"132",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,0.99,1,"negative"
"133",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,0.99,1,"negative"
"134",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"135",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"136",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"137",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"138",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"139",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"140",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"141",24,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
"142",0,2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,1,0,1,1,0,0,0,1,1,"negative"
